,eps,n,alpha,beta,gamma,phi**2,psi**2
32411,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
37801,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
12424,20.524,1.385,0.37,0.48,33.57,0.0,0.0
23094,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
36962,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
47617,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
33860,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
45867,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
14744,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
38195,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
28958,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
39089,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
23719,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27685,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
1661,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
3509,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4887,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
28980,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
9891,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
18106,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
21164,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
33430,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
39352,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
22138,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
19679,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
13768,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
26162,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
4051,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
41832,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
7621,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
19811,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
5993,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
16460,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
35867,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
20462,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
4945,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
23578,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
24658,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
22657,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
13369,20.524,1.385,0.37,0.48,33.57,0.0,0.0
41292,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
32977,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
28382,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16534,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
9878,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
43442,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
43043,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
39460,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
384,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
23734,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
12740,20.524,1.385,0.37,0.48,33.57,0.0,0.0
13508,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
21175,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
14726,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
43958,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
6179,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24270,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
13324,20.524,1.385,0.37,0.48,33.57,0.0,0.0
41263,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
47180,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
42477,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
4749,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
35747,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
1399,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
10089,20.524,1.385,0.37,0.48,33.57,0.0,0.0
25020,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
4294,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
247,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
15131,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
42083,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
4132,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
272,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
13893,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
30421,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
26835,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
156,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26297,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
39570,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
39501,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
22969,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
43432,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
29940,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
34285,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
27495,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
33739,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
38218,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
3224,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4856,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3697,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
27803,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
40835,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
1092,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42607,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
25042,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
8339,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
42442,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
3568,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4275,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
38099,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
3077,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26355,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
48533,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
19479,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
37988,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
40479,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
9055,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
1679,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
28845,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
9506,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
19360,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
23377,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
43574,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
45527,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
42980,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
16076,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
48546,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
29862,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
27300,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
35902,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
47370,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
18676,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
2502,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
25196,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
34930,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
4809,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
513,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
34443,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
47001,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
38107,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
3490,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
15283,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
49788,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
37250,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
118,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30095,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
33925,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
43710,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
35262,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
17085,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
9067,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
32479,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
17316,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
5646,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
43306,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
27588,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
12338,20.524,1.385,0.37,0.48,33.57,0.0,0.0
18815,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
20351,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
35330,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
18471,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
10055,20.524,1.385,0.37,0.48,33.57,0.0,0.0
21386,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
7613,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
28973,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
19330,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
28314,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
36242,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
31896,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
49578,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
16417,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
14218,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
44842,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
34897,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
39681,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
4773,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27608,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
3611,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
28606,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
6297,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
41401,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
15028,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
30186,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
39059,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
45773,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
9028,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
41704,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
47459,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
28491,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
32534,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
14718,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
11337,20.524,1.385,0.37,0.48,33.57,0.0,0.0
13627,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
17990,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
20426,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
4314,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
10654,20.524,1.385,0.37,0.48,33.57,0.0,0.0
41732,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
17588,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
11457,20.524,1.385,0.37,0.48,33.57,0.0,0.0
16653,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
4609,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
17201,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
31073,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
47410,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
8257,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
36659,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
33970,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
7564,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24836,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
35349,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
16686,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
30216,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
26099,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
48709,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
3037,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
20010,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
11669,20.524,1.385,0.37,0.48,33.57,0.0,0.0
9541,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
10353,20.524,1.385,0.37,0.48,33.57,0.0,0.0
11028,20.524,1.385,0.37,0.48,33.57,0.0,0.0
2763,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
37319,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
10406,20.524,1.385,0.37,0.48,33.57,0.0,0.0
14813,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
31389,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
20721,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
21913,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
3388,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
11651,20.524,1.385,0.37,0.48,33.57,0.0,0.0
14932,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
35208,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
19109,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
33631,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
42734,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
32118,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
37131,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
43597,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
16770,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
2219,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30108,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
4976,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
12512,20.524,1.385,0.37,0.48,33.57,0.0,0.0
17384,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
5039,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4444,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
28537,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
9319,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
5510,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13274,20.524,1.385,0.37,0.48,33.57,0.0,0.0
15882,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
3138,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4556,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
34427,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
26968,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
16243,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
41621,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
33841,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
23883,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
17495,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
325,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
21289,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
39203,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
42207,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
24710,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
28994,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
45397,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
11248,20.524,1.385,0.37,0.48,33.57,0.0,0.0
11112,20.524,1.385,0.37,0.48,33.57,0.0,0.0
16661,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
8279,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24042,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
41321,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
10281,20.524,1.385,0.37,0.48,33.57,0.0,0.0
37215,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
18145,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
49852,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
24130,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
16125,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
34834,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
39369,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
550,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
20704,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
36331,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
12878,20.524,1.385,0.37,0.48,33.57,0.0,0.0
8454,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4668,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13463,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
23109,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
16184,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
45743,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
42409,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
39960,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
48719,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
21108,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
9089,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
42451,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
24556,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
45444,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
43507,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
39640,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
29959,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
3604,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4984,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24360,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
16314,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
27127,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
23332,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
8731,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
47742,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
32203,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
33797,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
24475,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
17706,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
23208,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
42741,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
27965,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
41696,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
17064,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
20456,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
41531,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
11818,20.524,1.385,0.37,0.48,33.57,0.0,0.0
46746,2.2706,1.5011,0.0,0.14,40.62,1.0,0.0
45418,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
7236,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
37641,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
40912,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
34091,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
33579,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
13482,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
29568,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
48759,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
21560,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
20215,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
4060,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
31968,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
6693,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
1445,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4728,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
19654,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
24917,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
26364,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
41076,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
38273,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
5954,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20904,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
30796,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
37292,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
44646,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
23898,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
51289,10.125,1.4448,0.1,0.11,45.86,0.0,0.25
5266,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
30149,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
14571,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
23494,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27241,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16622,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
36600,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
5845,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27330,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
43462,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
2823,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
29443,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
12787,20.524,1.385,0.37,0.48,33.57,0.0,0.0
24897,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
24520,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
21004,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
2538,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
6194,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
36255,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
28343,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
42298,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
4901,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
10819,20.524,1.385,0.37,0.48,33.57,0.0,0.0
4538,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27417,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
49311,8.331,1.3599,0.0,0.38,33.36,0.0,0.0
